Benchmark,Over-approx.,,Complete,,
,Result,Time,Result,Time
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.70_start_0.1_1.0_epsilon_0.01.vnnlib],True,3.521439086999635,True,3.0016178790001504
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.70_start_0.1_1.8_epsilon_0.01.vnnlib],True,3.4839280999995026,True,3.136716400000296
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.71_start_0.1_0.15_epsilon_0.01.vnnlib],True,3.653214315999321,True,3.218613357999857
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.72_start_0.1_1.0_epsilon_0.01.vnnlib],True,3.2760714229998484,True,3.329543831000592
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.72_start_0.1_1.8_epsilon_0.01.vnnlib],True,3.363857324999117,True,4.379799135999747
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.73_start_0.1_0.15_epsilon_0.01.vnnlib],True,3.7889021139999386,True,3.218021656000019
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.74_start_0.1_1.8_epsilon_0.01.vnnlib],True,3.750982180000392,True,3.547078034000151
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.75_start_0.1_0.15_epsilon_0.01.vnnlib],True,3.3210382209999807,True,3.7820185700002185
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.75_start_0.1_1.0_epsilon_0.01.vnnlib],True,3.7507158419994084,True,3.1924118740007543
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.75_start_1.8_1.8_epsilon_0.01.vnnlib],False,3.5053797399996256,False,3.072894953999821
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.76_start_0.1_1.8_epsilon_0.01.vnnlib],True,3.4172103370001423,True,3.1601285899996583
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.76_start_1.8_1.8_epsilon_0.01.vnnlib],True,3.627251955999782,True,3.3137499819995355
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.77_start_0.1_0.15_epsilon_0.01.vnnlib],True,3.5394544690007024,True,3.2807804899994153
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.77_start_0.1_1.0_epsilon_0.01.vnnlib],True,3.8180244900004254,True,3.8057967380000264
[sac_kin_discrete2d_complex_wo_tanh_440reward - obs_act_y_equals_0.77_start_1.8_1.8_epsilon_0.01.vnnlib],False,2.986245897999652,False,3.9558321220001744
